id "A" "L" "\chi" "\beta" "C_1" "C_2" "v_1" "v_2" "\dot v_1" "\dot v_2" "\dot h_1" "\dot h_2" "\dot \psi_1" "\dot \psi_2" "hmd" "vmd" 
1 4 4 2 53.1167 2 2 131.208 333.37 0 0 -1566.04 2738.68 0.779493 5.82729 1.73162 503.576 
2 4 2 2 225.41 2 2 532.988 258.828 -1.55817 1.79216 0 0 0 -6.44202 0.8169 199.243 
3 4 2 2 33.9172 2 2 279.814 193.967 0 1.25652 -412.111 0 1.03876 0 0.166691 207.399 
4 4 1 1 154.418 1 2 217.47 240.731 0 1.7113 0 0 2.09316 7.41637 0.0393763 747.126 
5 4 2 1 188.623 2 1 219.331 263.988 0 0 816.112 -656.021 0 -1.98323 2.45525 784.319 
6 4 2 2 126.884 2 1 385.931 183.745 0 0 0 0 0 0 0.705061 321.088 
7 4 1 2 173.221 2 1 77.2938 344.206 0 -0.344076 0 0 -0.737809 4.45665 2.25775 160.527 
8 1 1 2 246.984 2 2 134.696 121.075 0.268789 1.06455 0 0 3.23386 2.74196 0.247919 754.094 
9 4 2 2 317.712 2 1 239.992 121.776 0 0 -652.511 569.113 0.477697 0 0.813525 549.152 
10 4 2 2 229.206 2 2 414.366 285.778 1.8713 0.821495 3972.43 0 0 -1.38535 0.285644 194.848 
11 4 1 2 250.037 1 2 216.728 276.877 0 1.96472 0 0 3.05943 5.26509 2.8502 2871.9 
12 4 1 2 239.25 1 2 330.183 216.329 -0.807892 1.54888 0 0 -2.858 -7.51292 2.96327 1128.53 
13 4 1 2 264.909 2 1 492.499 347.471 0 -1.18257 0 -505.06 0 0 0.1703 625.723 
14 4 2 1 71.1888 2 2 409.467 457.478 0.895822 -0.956878 0 0 0 -2.55118 0.0764575 569.921 
15 4 2 2 166.388 2 2 103.606 361.075 -0.821655 -1.46114 0 0 1.10129 -5.41127 0.701898 22.3212 
16 4 1 2 25.1254 1 2 439.196 392.913 0 -2.64361 0 555.768 0 0 0.337572 551.774 
17 4 1 2 269.495 2 2 364.386 270.477 -0.707514 4.73748 0 0 0 6.40723 0.117707 899.771 
18 4 1 2 0.762256 2 1 343.413 334.926 0 0 0 0 -1.2449 0 2.04513 725.367 
19 4 1 2 223.592 2 2 371.625 343.267 0 -0.518185 793.502 -937.408 2.82823 1.6715 0.36719 2616.57 
20 2 1 2 20.2062 2 2 358.449 427.867 1.44268 0.697843 0 436.69 0 3.79843 0.239458 534.682 
21 1 2 2 225.146 2 1 347.347 88.5563 0 1.59426 0 0 0 0.56239 0.0475405 375.83 
22 4 2 1 180.966 2 1 197.131 191.03 0 0 0 0 0.503171 0.886619 0.703004 38.6393 
23 4 2 2 323.989 2 1 182.887 516.4 -0.832375 -0.87575 0 0 2.33891 -0.511572 0.485821 752.782 
24 4 1 1 262.3 2 2 241.486 158.508 0 -0.395088 0 0 0 -4.5132 0.826741 854.938 
25 4 3 2 221.016 2 1 198.2 273.454 -1.6113 1.00996 0 -987.106 -0.429998 0 0.37851 656.164 
26 4 1 1 186.83 2 1 56.4051 458.375 0 4.39804 696.665 -724.536 -1.72477 0.391646 2.63317 4641.71 
27 4 2 2 141.478 2 2 560.209 283.972 0 0 0 0 -0.417526 -7.2754 0.936503 633.886 
28 4 1 1 126.371 2 2 281.687 303.688 0 4.29733 0 0 0.615246 0.906604 0.415274 701.222 
29 4 1 1 173.838 2 2 465.561 241.067 1.79897 0 0 998.996 -0.292749 0 2.9856 301.123 
30 4 1 2 232.582 2 2 407.339 175.692 0 1.14465 0 0 0 -4.29772 2.91077 744.486 
31 3 1 2 351.671 1 2 99.7806 453.871 0 -1.24302 0 704.356 0 0.805081 1.22824 703.713 
32 4 2 1 86.0087 2 2 50.5852 264.627 0.337947 1.16398 0 0 -3.58216 0 0.0122747 173.975 
33 4 2 2 201.177 2 1 275.441 71.3023 0 3.7438 0 0 -1.77869 -6.29015 0.0773155 582.961 
34 4 2 2 92.6591 2 1 406.246 458.115 -0.871369 0 -638.732 1227.23 0 -7.86487 1.14651 374.533 
35 1 1 1 276.503 2 2 387.716 140.759 0 -2.28342 0 0 -0.343234 -2.72222 0.839441 626.898 
36 4 1 2 213.367 2 1 111.475 56.6417 -1.07599 0 0 0 3.46854 6.98691 0.446368 4449.57 
37 1 2 2 174.216 1 2 594.884 375.552 3.27165 1.74263 0 0 0.970991 -0.715568 0.044452 672.658 
38 2 1 1 23.0601 2 2 256.909 595.454 0 1.79799 0 -783.487 1.90522 -3.07685 0.942014 386.247 
39 4 2 1 164.014 2 1 103.954 247.262 -1.14997 0.942323 -748.983 0 -0.428384 0 0.0806692 25.6472 
40 4 1 2 332.841 2 1 545.356 399.603 0 -1.52082 646.736 0 0 0 0.824245 679.22 
41 4 3 2 229.332 2 1 299.708 64.2996 -0.502904 1.86998 581.28 0 0 2.10483 0.84016 676.944 
42 4 2 2 151.09 2 2 61.6482 261.654 -1.71474 0 642.713 0 0 6.59485 2.34497 176.425 
43 4 2 1 179.555 2 2 591.882 246.859 0 1.69785 0 0 0 -2.96082 0.0564537 611.942 
44 4 2 2 186.115 2 2 197.415 309.38 0 0 0 0 0 -0.777204 1.97884 730.992 
45 4 1 2 83.9261 2 1 79.4247 466.053 0 1.86579 0 0 3.10706 -7.5034 0.298604 633 
46 4 2 2 241.876 2 1 495.364 530.232 0 -0.828336 0 0 -0.664897 -4.90792 0.515775 387.463 
47 4 2 1 150.458 2 1 373.804 397.91 -1.75246 0 0 0 0 -7.7046 2.14067 717.137 
48 1 2 1 16.7501 2 1 58.3574 81.1756 0 0.953371 0 0 0 -6.30861 2.03273 704.098 
49 4 1 2 269.841 2 1 409.572 253.778 0 1.94154 0 0 0.556072 -1.64981 0.91961 457.181 
50 4 2 1 202.578 2 1 292.344 260.232 1.13577 -1.67734 931.186 -838.208 0.253317 0.572966 1.86999 545.656 
51 1 1 1 105.552 2 2 272.273 100.072 -0.367668 -0.851737 993.416 0 -1.28128 3.1558 0.43587 126.639 
52 4 1 2 154.713 2 1 499.274 391.593 0 0.489514 0 0 0 1.73857 0.180826 5637.11 
53 4 2 2 113.172 2 2 377.367 361.719 -1.10999 0.880419 0 0 0 4.50797 0.409356 732.426 
54 3 1 2 92.1197 1 2 553.292 425.603 3.95666 -0.644151 0 492.128 -1.54641 0 0.677909 675.943 
55 4 2 1 235.922 2 2 449.236 219.552 3.91954 0.288873 0 0 0.683739 -0.832341 0.404727 741.649 
56 4 2 2 1.09678 2 2 85.7436 244.567 0 -0.917456 0 -487.992 0 -3.73909 0.996325 605.669 
57 2 1 1 203.967 2 2 471.933 286.005 1.3361 -0.714192 0 0 0 0.809736 0.105463 812.018 
