initial_id t "\dot h_1(t+1)" "\dot h_2(t+1)" "\dot \psi_1(t+1)" "\dot \psi_2(t+1)" 
1 0 -1566.04 2738.68 0.779493 5.82729 
1 1 -2143.17 -644.234 0 7.3001 
1 2 -2143.17 -2502.91 -0.787136 1.9946 
1 3 -2143.17 -2502.91 -0.787136 0 
1 4 -2143.17 -2994.77 -0.787136 -0.674281 
1 5 -2143.17 -2994.77 -0.787136 -0.674281 
1 6 -2143.17 -2994.77 -0.787136 0 
1 7 -2143.17 -2994.77 -0.787136 -0.254344 
1 8 -1741.42 -2994.77 -0.787136 -0.254344 
1 9 -2530.93 -2994.77 -0.787136 -0.254344 
1 10 -2530.93 -2473.87 -0.787136 -0.254344 
1 11 -2530.93 -2028.1 -0.787136 -0.254344 
1 12 -2530.93 -2028.1 -0.787136 0 
1 13 -2530.93 -2028.1 -0.787136 -0.266679 
1 14 -2530.93 -2028.1 -0.787136 -0.974993 
1 15 -2530.93 -2028.1 -0.306606 -0.974993 
1 16 -2530.93 -2028.1 -0.306606 -0.974993 
1 17 -2530.93 -2028.1 -0.306606 -0.974993 
1 18 -2530.93 -2028.1 -0.306606 -0.974993 
1 19 -2530.93 -2028.1 -0.306606 -0.974993 
1 20 -2530.93 -2028.1 -1.47342 -0.974993 
1 21 -2530.93 -2028.1 -1.47342 -0.974993 
1 22 -2530.93 -2028.1 -0.252979 -0.974993 
1 23 -3290.51 -2028.1 -3.15304 -0.974993 
1 24 -3290.51 -2028.1 0 -0.974993 
1 25 -3290.51 -2028.1 -0.982561 -0.974993 
1 26 -3290.51 -2028.1 -1.01806 -0.974993 
1 27 -3290.51 -2028.1 -1.01806 -0.974993 
1 28 -3290.51 -1675.8 3.6286 -0.974993 
1 29 -3290.51 -2718.79 0 -0.867645 
1 30 -3290.51 -2718.79 -0.708311 -0.92263 
1 31 -3290.51 -2718.79 -1.79119 -0.92263 
1 32 -3290.51 -2718.79 -7.30434 -0.92263 
1 33 -3290.51 -2718.79 7.72414 -0.92263 
1 34 -3290.51 -2718.79 0.704781 -0.92263 
1 35 -3290.51 -2718.79 -0.746513 -0.92263 
1 36 -3290.51 -2718.79 -1.04922 -0.92263 
1 37 -3290.51 -2718.79 -7.48661 -0.92263 
1 38 -3290.51 -2718.79 -0.315753 -0.92263 
1 39 -3290.51 -2718.79 -3.03187 -0.92263 
1 40 -3290.51 -2718.79 -0.371093 -0.92263 
1 41 -3290.51 -1411.61 -1.22939 -0.878099 
1 42 -4739.36 -2942.85 -3.71459 -0.401329 
1 43 -4739.36 -2942.85 -5.74796 -0.401329 
1 44 -4739.36 -2942.85 -5.74796 0 
1 45 -4739.36 -2942.85 -5.74796 -0.646503 
1 46 -4739.36 -2942.85 -2.17442 -0.646503 
1 47 -4739.36 -2942.85 -6.21551 -0.404095 
1 48 -4739.36 -2942.85 2.80384 -0.404095 
1 49 -4739.36 -2942.85 0 -0.404095 
2 0 0 0 0 -6.44202 
2 1 -2984.77 -2152.95 0 -6.44202 
2 2 -4122.78 -3542.01 -2.0837 -6.44202 
2 3 -4122.78 -3542.01 -4.74177 -6.44202 
2 4 -4122.78 -3542.01 -6.90301 -6.44202 
2 5 -4122.78 -3542.01 5.25192 -6.44202 
2 6 -4122.78 -3542.01 0 0 
2 7 -4122.78 -3542.01 -3.06375 -0.806414 
2 8 -4122.78 -3542.01 -3.69007 -2.56166 
2 9 -4122.78 -3542.01 -6.6936 -3.90096 
2 10 -4122.78 -3542.01 -6.6936 -7.84869 
2 11 -4122.78 -3281.06 -6.6936 -7.84869 
2 12 -4122.78 -3281.06 -6.6936 -7.84869 
2 13 -4806.27 -3281.06 -2.30672 -7.84869 
2 14 -4806.27 -2899.36 -4.22056 0.597246 
2 15 -4806.27 -3584.27 6.85867 -0.57348 
2 16 -4946.73 -3584.27 0.952611 -1.35867 
2 17 -4946.73 -3584.27 0 -4.66897 
2 18 -4946.73 -3584.27 -6.98448 -6.16987 
2 19 -4946.73 -3584.27 1.75907 -6.16987 
2 20 -4946.73 -3584.27 -0.600536 -6.16987 
2 21 -4946.73 -3584.27 -1.63078 -6.16987 
2 22 -4946.73 -3584.27 -4.93881 -6.16987 
2 23 -4946.73 -3584.27 0.520886 -6.16987 
2 24 -4946.73 -2056.26 -0.727414 5.54058 
2 25 -4946.73 -3971.54 -1.8502 0 
2 26 -4946.73 -3971.54 -5.34406 -1.07386 
2 27 -2732.18 -3971.54 -5.34406 -3.91369 
2 28 -4698.48 -3971.54 3.89107 0.817627 
2 29 -4698.48 -3971.54 0 -0.775307 
2 30 -4698.48 -3971.54 -2.6401 -1.24208 
2 31 -4698.48 -3971.54 -4.73414 -5.33014 
2 32 -4698.48 -2983.04 -1.31974 -5.33014 
2 33 -4698.48 -3215.03 -1.31974 -7.20042 
2 34 -4698.48 -3215.03 -3.63225 -7.20042 
2 35 -4698.48 -3215.03 0 -7.20042 
2 36 -4698.48 -3474.39 -3.49423 -7.20042 
2 37 -4698.48 -3474.39 -3.80812 -7.20042 
2 38 -4698.48 -3474.39 -6.99054 -7.20042 
2 39 -4698.48 -3474.39 -6.24552 -7.20042 
2 40 -4698.48 -3474.39 -6.24552 -7.20042 
2 41 -4698.48 -3474.39 -6.24552 -7.20042 
2 42 -4698.48 -3474.39 -6.24552 -7.20042 
2 43 -4698.48 -3474.39 0.300461 -7.20042 
2 44 -4698.48 -3474.39 -0.868952 -4.52127 
2 45 -4698.48 -3474.39 -2.80529 -6.86111 
2 46 -4698.48 -3474.39 -4.6958 -6.86111 
2 47 -4698.48 -3474.39 -2.63917 -6.86111 
2 48 -4698.48 -3474.39 0 -6.86111 
2 49 -4698.48 -3474.39 -1.36802 -6.86111 
3 0 -412.111 0 1.03876 0 
3 1 -2434.85 -2938.68 0 -0.250794 
3 2 -4835.63 -4993.28 -3.00655 -0.250794 
3 3 -4835.63 -4993.28 -4.51731 -2.43022 
3 4 -2494.94 -4993.28 -4.51731 -5.09002 
3 5 -4755.37 -4993.28 7.42313 -6.49928 
3 6 -4755.37 -3975.61 0.96634 -6.49928 
3 7 -4755.37 -3975.61 -0.307438 -6.49928 
3 8 -4755.37 -3975.61 -1.6848 -6.49928 
3 9 -4755.37 -3975.61 -4.15331 -6.49928 
3 10 -4755.37 -3975.61 3.03189 -4.90838 
3 11 -4755.37 -4115.82 -0.431915 -6.6179 
3 12 -4755.37 -4115.82 -2.89028 -6.6179 
3 13 -4755.37 -4115.82 -4.40733 -6.6179 
3 14 -4755.37 -4115.82 1.36899 -6.6179 
3 15 -4755.37 -4115.82 -0.839438 -6.6179 
3 16 -4755.37 -4115.82 -2.14082 -6.6179 
3 17 -4755.37 -4115.82 -4.43888 -6.6179 
3 18 -4755.37 -4115.82 0.874478 -2.14233 
3 19 -4755.37 -4115.82 -0.739143 -5.42317 
3 20 -4755.37 -4115.82 -1.46657 -5.42317 
3 21 -4755.37 -4115.82 -5.09576 -4.74067 
3 22 -4755.37 -4115.82 0.920009 0 
3 23 -3657.97 -4115.82 -2.18804 -1.20485 
3 24 -3657.97 -4115.82 -3.9442 -5.17504 
3 25 -3657.97 -4115.82 0 -7.93758 
3 26 -3657.97 -4115.82 -1.86562 -7.93758 
3 27 -3657.97 -4115.82 -5.51745 -7.93758 
3 28 -3657.97 -4115.82 0 -7.93758 
3 29 -3657.97 -4115.82 -3.33564 -7.93758 
3 30 -4352.8 -4115.82 -4.76895 -1.83345 
3 31 -4352.8 -4115.82 0.266744 -5.82537 
3 32 -4352.8 -4115.82 -0.433362 4.49221 
3 33 -4352.8 -4115.82 -1.95303 0 
3 34 -4352.8 -3688.21 -5.00674 -4.84872 
3 35 -4352.8 -3688.21 -5.00674 -7.09677 
3 36 -4352.8 -3688.21 0 -7.09677 
3 37 -4944.89 -3688.21 -2.60529 -7.09677 
3 38 -4944.89 -3688.21 -3.71581 -7.09677 
3 39 -4944.89 -3688.21 1.7276 -7.09677 
3 40 -4944.89 -3688.21 -0.61287 -5.36803 
3 41 -4944.89 -3688.21 -3.44296 0 
3 42 -4944.89 -3688.21 -4.49806 -2.17021 
3 43 -4944.89 -3688.21 -6.43799 -5.82142 
3 44 -4944.89 -3688.21 -6.43799 -7.05225 
3 45 -4944.89 -3688.21 -6.43799 -7.05225 
3 46 -4944.89 -3688.21 -6.43799 -7.05225 
3 47 -2916.24 -3688.21 -0.792245 -7.05225 
3 48 -4707.09 -3688.21 -1.34831 -7.05225 
3 49 -3347.39 -3688.21 -5.72156 -7.05225 
4 0 0 0 2.09316 7.41637 
4 1 -2662.29 -2502.98 0 0.855249 
4 2 -3925.09 -4379.21 -2.96341 -0.715509 
